|id|Название|Регион:|Населённый пункт:|Форма собственности:|Адрес:|Лицензия: №|specialization
31|12148|Ростовский институт (филиал) федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Российский государственный торгово-экономический университет»|Ростовская область| г. Москва|Государственный филиал|ГСП-3, ул. Смольная, д. 36, г. Москва, 125993|0501 от 16.01.2013 (Бессрочная)|['030900', '080100', '100700']
32|2684|федеральное государственное бюджетное образовательное учреждение высшего образования «Уфимский государственный нефтяной технический университет»|Республика Башкортостан|г. Уфа|Государственный головной ВУЗ|450062, Республика Башкортостан, г. Уфа, ул. Космонавтов, д. 1|2259 от 08.07.2016 (Бессрочная)|['040601', '050301', '050601', '070301', '070401', '080301', '080401', '080501', '080601', '090301', '090303', '090401', '090601', '130301', '130302', '130401', '130402', '150301', '150302', '150304', '150401', '150402', '150404', '150601', '180301', '180302', '180401', '180402', '180601', '190301', '190302', '190401', '190402', '190601', '200301', '200401', '200501', '200601', '210301', '210401', '210502', '210503', '210506', '210601', '220601', '270304', '270404', '270601', '290105', '290302', '290305', '380301', '380302', '380304', '380305', '380306', '380401', '380402', '380403', '380404', '380408', '380501', '380601', '390601', '410301', '410401', '410601', '420301', '420401', '430102', '430210', '430301', '430302', '430303', '430402', '430403', '460601', '470601', '510303', '540301', '540303', '540401']
33|2696|Северный институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Всероссийский государственный университет юстиции (РПА Минюста России)» в г. Петрозаводске|Республика Карелия|г. Петрозаводск|Негосударственный филиал|185034, Республика Карелия, г. Петрозаводск, ул. Онежской Флотилии, д. 51|1573 от 24.07.2015 (Бессрочная)|['400301', '400502']
34|7426|Ивановский филиал федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Российский государственный торгово-экономический университет»|Ивановская область| г. Москва|Государственный филиал|ГСП-3, ул. Смольная, д. 36, г. Москва, 125993|0501 от 16.01.2013 (Бессрочная)|['080100', '100700']
35|12484|филиал федерального государственного автономного образовательного учреждения высшего образования «Национальный исследовательский технологический университет «МИСиС» в г. Губкине Белгородской области|Белгородская область||Государственный филиал||2989 от 21.10.2021 (Бессрочная)|['200301', '200301', '210504', '210504', '380302']
36|7226|Федеральное государственное бюджетное учреждение науки Тихоокеанский океанологический институт им В.И. Ильичева Дальневосточного отделения Российской академии наук|Приморский край|г. Владивосток|Негосударственный головной ВУЗ|Российская Федерация, 690041, город Владивосток, улица Балтийская, дом 43|0437 от 05.12.2012 (Бессрочная)|['030601', '050601']
37|12526|Автономная некоммерческая организация высшего образования «Волгоградский институт бизнеса»|Волгоградская область||Негосударственный головной ВУЗ||2836 от 25.06.2019 (Бессрочная)|['090303', '430301', '540301']
38|1066|филиал федерального государственного казенного образовательного учреждения высшего образования «Московский пограничный институт Федеральной службы безопасности Российской Федерации» в городском поселении Оболенск|Московская область| городское поселение Оболенск|Негосударственный филиал|142279, Московская область, Серпуховский район, городское поселение Оболенск, улица Строителей, дом 4|1872 от 30.12.2015 (Бессрочная)|['400202', '570201', '570201']
39|1729|Находкинский филиал Федерального государственного бюджетного образовательного учреждения высшего образования «Морской государственный университет имени адмирала Г.И. Невельского»|Приморский край|г. Находка|Негосударственный филиал|692900, Приморский край, г. Находка, ул. Заводская, д. 3|2067 от 07.04.2016 (Бессрочная)|['090204', '150105', '220206', '230103', '230201', '260101']
40|7783|федеральное государственное бюджетное учреждение «Национальный медицинский исследовательский центр реабилитации и курортологии» Министерства здравоохранения Российской Федерации|г. Москва|г. Москва|Государственный головной ВУЗ|121099, Российская Федерация, г. Москва, ул. Новый Арбат, д. 32|2631 от 04.09.2017 (Бессрочная)|['310601', '310819', '310839', '310840', '310842', '310850']
41|2715|Ступинский филиал Аккредитованного образовательного частного учреждения высшего образования «Московский финансово-юридический университет МФЮА»|Московская область|г. Ступино|Негосударственный филиал|142810, Московская область, г. Ступино, ул. Чайковского, д. 54|1402 от 23.04.2015 (Бессрочная)|['380201', '380207']
42|2593|филиал федерального государственного бюджетного образовательного учреждения высшего образования «Санкт-Петербургский государственный экономический университет» в г. Сыктывкар Республики Коми|Республика Коми|г. Сыктывкар|Негосударственный филиал|167000, Республика Коми, г. Сыктывкар, Сысольское шоссе, д. 64|1083 от 05.09.2014 (Бессрочная)|['080500', '080507', '100100', '100101']
43|8105|Федеральное государственное бюджетное учреждение науки Санкт-Петербургский экономико-математический институт Российской академии наук|г. Санкт-Петербург||Негосударственный головной ВУЗ|191187, Санкт-Петербург, наб. реки Фонтанки, дом 6, лит. «А»|2619 от 21.03.2012 (Бессрочная)|['010109', '080013']
44|5634|АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ВЫСШЕГО ОБРАЗОВАНИЯ «НАЦИОНАЛЬНЫЙ ИНСТИТУТ ДИЗАЙНА»|г. Москва| г. Москва|Негосударственный головной ВУЗ|Российская Федерация, 115054, г. Москва, ул. Дубининская, д. 17, стр.2|1761 от 13.11.2015 (Бессрочная)|['540301', '540401']
45|6036|Филиал негосударственного образовательного учреждения высшего профессионального образования «Московский психолого-социальный университет» в станице Полтавская Краснодарского края|Краснодарский край||Негосударственный филиал|ул. К. Маркса, д. 226А, станица Полтавская, Красноармейский район, Краснодарский край, 353800|2490 от 22.02.2012 (Бессрочная)|['030912', '080110', '120714']
46|5474|Ульяновский финансово-экономический колледж - филиал федерального государственного образовательного бюджетного учреждения высшего образования «Финансовый университет при Правительстве Российской Федерации»|Ульяновская область|г. Ульяновск|Негосударственный филиал|432045, г. Ульяновск, ул. Рябикова, 56|1495 от 09.06.2015 (Бессрочная)|['080106', '080106', '080114']
47|5501|Нефтяной институт (филиал) федерального государственного бюджетного образовательного учреждения высшего образования «Югорский государственный университет»|Ханты-Мансийский автономный округ - Югра|г. Нижневартовск|Негосударственный филиал|628615, Ханты-Мансийский автономный округ- Югра, г. Нижневартовск, ул. Мира, д. 37|1868 от 30.12.2015 (Бессрочная)|['080209', '080209', '150201', '150201', '150207', '150207', '150212', '150214', '180209', '180209', '180212', '210201', '210201', '210202', '210202']
48|9725|Филиал федерального государственного бюджетного образовательного учреждения высшего профессионального образования «Московский государственный университет приборостроения и информатики» в г. Дмитрове|Московская область| г. Дмитров|Государственный филиал|ул. Аверьянова, д. 15, г. Дмитров, Московская область, 141800|2120 от 02.11.2011 (Бессрочная)|['151001', '151001', '151001']
